Dataplantio	Epoca	ano	mes	dia	Ndia	Quinzena	T.max	t.min	Prec.	Tmed	Tbase	ADD	ADDTot	Prec.Ac	Estacao
18/09/2020	1	2021	fev	18	154	Q11	32.9	23	3.8	25.74	13	12.74	1824.98	190.2	Verao
18/09/2020	1	2021	fev	19	155	Q11	32.7	21.8	10.4	25.94	13	12.94	1837.92	200.6	Verao
18/09/2020	1	2021	fev	20	156	Q11	33.3	23.2	1.2	25.86	13	12.86	1850.78	201.8	Verao
18/09/2020	1	2021	fev	21	157	Q11	32.5	22.8	0	26.06	13	13.06	1863.84	201.8	Verao
18/09/2020	1	2021	fev	22	158	Q11	32.5	21.7	0	25.74	13	12.74	1876.58	201.8	Verao
18/09/2020	1	2021	fev	23	159	Q11	32.7	21.6	0	25.9	13	12.9	1889.48	201.8	Verao
18/09/2020	1	2021	fev	24	160	Q11	32.6	21.5	0	26.26	13	13.26	1902.74	201.8	Verao
18/09/2020	1	2021	fev	25	161	Q11	32.1	22.2	0	26.38	13	13.38	1916.12	201.8	Verao
18/09/2020	1	2021	fev	26	162	Q11	32.1	21.8	0	25.86	13	12.86	1928.98	201.8	Verao
18/09/2020	1	2021	fev	27	163	Q11	29.9	21.8	0	25.22	13	12.22	1941.2	201.8	Verao
18/09/2020	1	2021	fev	28	164	Q11	28.6	21.2	0	24.52	13	11.52	1952.72	201.8	Verao
18/09/2020	1	2021	mar	1	165	Q12	28	22.2	21.3	23.5	13	10.5	1963.22	223.1	Verao
18/09/2020	1	2021	mar	2	166	Q12	30.6	20.4	5.4	24.56	13	11.56	1974.78	228.5	Verao
18/09/2020	1	2021	mar	3	167	Q12	28.6	20.9	0	24.36	13	11.36	1986.14	228.5	Verao
18/09/2020	1	2021	mar	4	168	Q12	30.6	22.2	0	24.84	13	11.84	1997.98	228.5	Verao
18/09/2020	1	2021	mar	5	169	Q12	31.9	21	0	24.9	13	11.9	2009.88	228.5	Verao
18/09/2020	1	2021	mar	6	170	Q12	33.7	21.3	0	26.44	13	13.44	2023.32	228.5	Verao
18/09/2020	1	2021	mar	7	171	Q12	34.7	22.8	0	26.7	13	13.7	2037.02	228.5	Verao
18/09/2020	1	2021	mar	8	172	Q12	32.5	23.6	0	26.22	13	13.22	2050.24	228.5	Verao
18/09/2020	1	2021	mar	9	173	Q12	32.6	22.6	0	25.76	13	12.76	2063	228.5	Verao
18/09/2020	1	2021	mar	10	174	Q12	33.1	20.6	0	25.68	13	12.68	2075.68	228.5	Verao
18/09/2020	1	2021	mar	11	175	Q12	32.7	22	0	26.42	13	13.42	2089.1	228.5	Verao
18/09/2020	1	2021	mar	12	176	Q12	33	22.5	0	25.38	13	12.38	2101.48	228.5	Verao
18/09/2020	1	2021	mar	13	177	Q12	31.7	20.6	0	24.96	13	11.96	2113.44	228.5	Verao
18/09/2020	1	2021	mar	14	178	Q12	31.5	21.2	0.4	24.9	13	11.9	2125.34	228.9	Verao
18/09/2020	1	2021	mar	15	179	Q12	32	20	0	25.14	13	12.14	2137.48	228.9	Verao
18/09/2020	1	2021	mar	16	180	Q13	32.1	20.7	0	25.76	13	12.76	2150.24	228.9	Verao
18/09/2020	1	2021	mar	17	181	Q13	32.6	22.9	0	26.32	13	13.32	2163.56	228.9	Verao
18/09/2020	1	2021	mar	18	182	Q13	31.4	22.2	0	25.68	13	12.68	2176.24	228.9	Verao
18/09/2020	1	2021	mar	19	183	Q13	29.9	22.2	3.1	24.98	13	11.98	2188.22	232	Verao
18/09/2020	1	2021	mar	20	184	Q13	30.5	21.9	6.7	24.74	13	11.74	2199.96	238.7	Verao
18/09/2020	1	2021	mar	21	185	Q13	30.6	22.4	3.6	24.84	13	11.84	2211.8	242.3	Verao
18/09/2020	1	2021	mar	22	186	Q13	29.2	22	1.6	24.48	13	11.48	2223.28	243.9	Verao
18/09/2020	1	2021	mar	23	187	Q13	30.5	20.8	5.3	24.68	13	11.68	2234.96	249.2	Verao
18/09/2020	1	2021	mar	24	188	Q13	31	21.2	0	25.06	13	12.06	2247.02	249.2	Verao
18/09/2020	1	2021	mar	25	189	Q13	30	20.4	0	24.24	13	11.24	2258.26	249.2	Verao
18/09/2020	1	2021	mar	26	190	Q13	30.6	20.5	0.2	24.46	13	11.46	2269.72	249.4	Verao
18/09/2020	1	2021	mar	27	191	Q13	30.6	21	0	24.8	13	11.8	2281.52	249.4	Verao
18/09/2020	1	2021	mar	28	192	Q13	31.6	19.7	0	24.42	13	11.42	2292.94	249.4	Verao
18/09/2020	1	2021	mar	29	193	Q13	33.1	20.7	0	25.36	13	12.36	2305.3	249.4	Verao
18/09/2020	1	2021	mar	30	194	Q13	33.7	20.8	0	26	13	13	2318.3	249.4	Verao
18/09/2020	1	2021	mar	31	195	Q13	34.7	23.8	0	26.64	13	13.64	2331.94	249.4	Verao
18/09/2020	1	2021	abr	1	196	Q14	33.9	24.7	0	27.28	13	14.28	2346.22	249.4	Outono
18/09/2020	1	2021	abr	2	197	Q14	34.5	24.8	0	27.3	13	14.3	2360.52	249.4	Outono
18/09/2020	1	2021	abr	3	198	Q14	32.3	23	0	25.86	13	12.86	2373.38	249.4	Outono
18/09/2020	1	2021	abr	4	199	Q14	32.6	22.9	0	26.38	13	13.38	2386.76	249.4	Outono
18/09/2020	1	2021	abr	5	200	Q14	32	22.2	0	25.46	13	12.46	2399.22	249.4	Outono
18/09/2020	1	2021	abr	6	201	Q14	28.6	22.4	3.2	24.24	13	11.24	2410.46	252.6	Outono
18/09/2020	1	2021	abr	7	202	Q14	31.1	21.7	2.8	24.64	13	11.64	2422.1	255.4	Outono
18/09/2020	1	2021	abr	8	203	Q14	29.2	21.6	0	24.04	13	11.04	2433.14	255.4	Outono
